Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
167.0,243,243,206,6.839805825242719
167.5,243,243,206,6.839805825242719
168.0,243,243,206,6.839805825242719
168.5,244,244,207,6.806763285024155
169.0,248,248,208,6.774038461538462
169.5,248,248,208,6.774038461538462
170.0,248,248,208,6.774038461538462
170.5,249,249,209,6.741626794258373
171.0,249,249,209,6.741626794258373
171.5,249,249,209,6.741626794258373
172.0,249,249,209,6.741626794258373
172.5,250,250,212,7.365566037735849
173.0,250,250,212,7.365566037735849
173.5,251,251,215,8.048837209302325
174.0,253,253,217,7.974654377880184
174.5,255,255,219,7.901826484018265
175.0,255,255,219,7.901826484018265
175.5,256,256,222,8.783783783783784
176.0,256,256,222,8.783783783783784
176.5,256,256,222,8.783783783783784
177.0,256,256,222,8.783783783783784
177.5,256,256,222,8.783783783783784
178.0,256,256,222,8.783783783783784
178.5,256,256,222,8.783783783783784
179.0,256,256,223,9.076233183856502
179.5,256,256,223,9.076233183856502
180.0,258,258,225,8.995555555555555
180.5,258,258,225,8.995555555555555
181.0,258,258,225,8.995555555555555
181.5,258,258,226,9.320796460176991
182.0,258,258,226,9.320796460176991
182.5,258,258,226,9.320796460176991
183.0,258,258,226,9.320796460176991
183.5,258,258,226,9.320796460176991
184.0,258,258,226,9.320796460176991
184.5,259,259,227,9.279735682819384
185.0,259,259,227,9.279735682819384
185.5,259,259,229,9.408296943231441
186.0,259,259,229,9.408296943231441
186.5,260,260,230,9.367391304347827
187.0,260,260,230,9.367391304347827
187.5,261,261,231,9.326839826839826
188.0,263,263,233,9.246781115879829
188.5,267,267,234,9.207264957264957
189.0,270,270,238,9.0609243697479
189.5,272,272,243,9.734567901234568
190.0,273,273,245,9.987755102040817
190.5,273,273,245,9.987755102040817
191.0,273,273,247,10.307692307692308
191.5,274,274,248,10.266129032258064
192.0,278,278,249,10.224899598393574
192.5,278,278,249,10.224899598393574
193.0,280,280,250,10.184
193.5,283,283,252,10.656746031746032
194.0,287,287,253,10.614624505928854
194.5,288,288,256,10.50390625
195.0,289,289,258,10.7984496124031
195.5,289,289,258,10.7984496124031
196.0,290,290,259,10.756756756756756
196.5,293,293,263,10.610266159695817
197.0,298,298,265,10.530188679245283
197.5,299,299,266,10.490601503759398
198.0,299,299,267,10.47378277153558
198.5,301,301,269,10.395910780669144
199.0,303,303,271,10.680811808118081
199.5,309,309,273,10.602564102564102
